label,elapsed_ms
001,17.068
002,1.691
003,207.614
004,2.756
005,2.064
006,43.331
007,0.692
008,0.320
009,0.301
010,39.695
011,0.274
012,0.315
013,0.267
014,21.008
015,0.456
016,0.336
017,0.361
018,0.358
019,0.335
020,2.514
021,54.176
022,15.413
023,0.556
024,45.914
025,0.815
026,2.726
027,0.505
028,0.281
029,0.248
030,2.376
031,15.179
032,19.811
033,14.866
034,0.601
035,0.160
036,14.509
037,0.523
038,0.339
039,0.311
040,0.505
041,14.531
042,2.242
043,0.756
044,159.919
045,0.929
046,0.249
047,676.659
048,0.615
049,0.362
050,18.621
051,0.568
052,18.729
053,1.873
054,14.927
055,14.494
056,0.502
057,18.342
058,18.079
059,0.426
060,0.530
061,0.323
062,35.965
063,2.911
064,0.440
065,0.389
066,2.641
067,0.341
068,0.372
069,41.860
070,14.706
071,1.634
072,0.978
073,0.335
074,14.343
075,14.204
076,0.405
077,2.904
078,0.362
079,40.623
080,0.758
081,2.804
082,670.631
083,2.786
084,3.296
085,0.379
086,0.502
087,2.360
088,53.609
089,2.878
090,0.458
091,15.642
092,0.547
093,0.330
094,0.333
095,14.577
096,2.719
097,18.471
098,1.650
099,14.529
100,52.396
